0,13,3
0,14,3
0,15,3
0,16,3
0,17,3
0,18,3
0,19,3
0,20,3
-4,21,4
-3,21,4
-2,21,4
-1,21,4
0,21,4
1,21,4
2,21,4
3,21,4
4,21,4
-4,22,4
-3,22,4
-2,22,4
-1,22,4
0,22,4
1,22,4
2,22,4
3,22,4
4,22,4
-3,23,4
-2,23,4
-1,23,4
0,23,4
1,23,4
2,23,4
3,23,4
-3,24,4
-2,24,4
-1,24,4
0,24,4
1,24,4
2,24,4
3,24,4
-2,25,4
-1,25,4
0,25,4
1,25,4
2,25,4
-2,26,4
-1,26,4
0,26,4
1,26,4
2,26,4
-1,27,4
0,27,4
1,27,4
-1,28,4
0,28,4
1,28,4
0,12,2
0,11,2
0,10,2
0,9,2
0,8,2
0,7,5
0,6,5
0,5,5
0,4,5
0,3,5
0,2,5
0,1,5
0,0,5
1,13,1
1,12,2
1,11,2
1,10,2
1,9,2
1,8,2
1,7,2
1,6,5
1,5,5
1,4,5
1,3,5
1,2,5
1,1,5
1,0,5
2,14,1
2,13,2
2,12,2
2,11,2
2,10,2
2,9,2
2,8,2
2,7,5
2,6,5
2,5,5
2,4,5
2,3,5
2,2,5
2,1,5
2,0,5
3,13,1
3,12,2
3,11,2
3,10,2
3,9,2
3,8,2
3,7,5
3,6,5
3,5,5
3,4,5
3,3,5
3,2,5
3,1,5
3,0,5
4,12,1
4,11,2
4,10,2
4,9,2
4,8,2
4,7,5
4,6,5
4,5,5
4,4,5
4,3,5
4,2,5
4,1,5
4,0,5
5,13,1
5,12,2
5,11,2
5,10,2
5,9,2
5,8,5
5,7,5
5,6,5
5,5,5
5,4,5
5,3,5
5,2,5
5,1,5
5,0,5
6,13,3
6,14,3
6,15,3
6,16,3
4,17,4
5,17,4
6,17,4
7,17,4
8,17,4
4,18,4
5,18,4
6,18,4
7,18,4
8,18,4
5,19,4
6,19,4
7,19,4
5,20,4
6,20,4
7,20,4
6,12,2
6,11,2
6,10,2
6,9,2
6,8,2
6,7,5
6,6,5
6,5,5
6,4,5
6,3,5
6,2,5
6,1,5
6,0,5
7,12,1
7,11,2
7,10,2
7,9,2
7,8,2
7,7,2
7,6,5
7,5,5
7,4,5
7,3,5
7,2,5
7,1,5
7,0,5
8,13,1
8,12,2
8,11,2
8,10,2
8,9,2
8,8,2
8,7,2
8,6,5
8,5,5
8,4,5
8,3,5
8,2,5
8,1,5
